Test_Time	DateTime	Step_Time	Step_Index	Cycle_Index	Current	Voltage	Charge_Capacity	Discharge_Capacity	Charge_Energy	Discharge_Energy	dV/dt	Internal_Resistance	Temperature
369634.069	1523952467	0.0617	3	101	0.46037674	2.1352358	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90811097
369634.1	1523952467	0.0927	3	101	0.81185913	2.1603098	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90753667
369634.1223	1523952467	0.115	3	101	0.98573303	2.1758957	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90712354
369634.1508	1523952467	0.1435	3	101	1.2729568	2.2057877	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90659556
369634.1752	1523952467	0.1679	3	101	1.5673676	2.2393894	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90614353
369634.1998	1523952467	0.1925	3	101	1.8020248	2.27001	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90568779
369634.2272	1523952467	0.2199	3	101	2.0931587	2.3090973	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90518018
369634.2539	1523952467	0.2466	3	101	2.3852844	2.3514557	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90468555
369634.2793	1523952467	0.272	3	101	2.6773453	2.3952045	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90421499
369634.3058	1523952467	0.2985	3	101	2.9095612	2.4294939	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90372406
369634.3352	1523952467	0.3279	3	101	3.2577286	2.4800625	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.9031794
369634.3553	1523952467	0.348	3	101	3.4347954	2.504159	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90280703
369634.3833	1523952467	0.376	3	101	3.7272148	2.5405979	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90228831
369634.41	1523952467	0.4027	3	101	4.0202408	2.5715132	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90179367
369634.4367	1523952468	0.4294	3	101	4.2530098	2.5938082	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90129903
369634.4652	1523952468	0.4579	3	101	4.5507965	2.6169596	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90077104
369634.4928	1523952468	0.4855	3	101	4.8954353	2.6407814	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.90025973
369634.5193	1523952468	0.512	3	101	5.1890945	2.6586952	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.8997688
369634.5443	1523952468	0.537	3	101	5.4223595	2.672574	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.89930565
369634.5704	1523952468	0.5631	3	101	5.7110863	2.6861601	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.89882213
369634.6514	1523952468	0.6441	3	101	5.8316612	2.69802	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.89732154
369634.7327	1523952468	0.7254	3	101	5.8297195	2.7098103	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.89581539
369634.8432	1523952468	0.8359	3	101	5.8303795	2.7199774	9.68E-07	4.89E-07	2.05E-06	1.04E-06	0.020151138	0.015331933	36.89376829
369634.9785	1523952468	0.9712	3	101	5.8312073	2.7305727	0.001088044	4.89E-07	0.002867631	1.04E-06	0.61276722	0.015331933	36.89126175
369635.1479	1523952468	1.1406	3	101	5.8312683	2.7427759	0.001088044	4.89E-07	0.002867631	1.04E-06	0.61276722	0.015331933	36.88812347
