Cycle,Battery-M,M8020-train,M8020-valid,M8020-predict,M5050-train,M5050-valid,M5050-predict,M2080-train,M2080-valid,M2080-predict
1,35.5876,35.5876,,,35.5876,,,35.5876,,
2,35.6129,35.6129,,,35.6129,,,35.6129,,
3,35.5915,35.5915,,,35.5915,,,35.5915,,
4,35.61,35.61,,,35.61,,,35.61,,
5,35.5604,35.5604,,,35.5604,,,35.5604,,
6,35.5244,35.5244,,,35.5244,,,35.5244,,
7,35.546,35.546,,,35.546,,,35.546,,
8,35.5596,35.5596,,,35.5596,,,35.5596,,
9,35.5625,35.5625,,,35.5625,,,35.5625,,
10,35.5621,35.5621,,,35.5621,,,35.5621,,
11,35.5594,35.5594,,,35.5594,,,35.5594,,
12,35.5377,35.5377,,,35.5377,,,35.5377,,
13,35.5787,35.5787,,,35.5787,,,35.5787,,
14,35.4795,35.4795,,,35.4795,,,35.4795,,
15,35.5383,35.5383,,,35.5383,,,35.5383,,
16,35.5432,35.5432,,,35.5432,,,35.5432,,
17,35.6173,35.6173,,,35.6173,,,35.6173,,
18,35.6476,35.6476,,,35.6476,,,35.6476,,
19,35.6633,35.6633,,,35.6633,,,35.6633,,
20,35.6495,35.6495,,,35.6495,,,35.6495,,
21,35.6429,35.6429,,,35.6429,,,35.6429,,
22,35.6616,35.6616,,,35.6616,,,35.6616,,
23,35.6532,35.6532,,,35.6532,,,35.6532,,
24,35.6943,35.6943,,,35.6943,,,35.6943,,
25,35.7046,35.7046,,,35.7046,,,35.7046,,
26,35.6527,35.6527,,,35.6527,,,35.6527,,
27,35.5804,35.5804,,,35.5804,,,35.5804,,
28,35.5219,35.5219,,,35.5219,,,35.5219,,
29,35.5414,35.5414,,,35.5414,,,35.5414,,
30,35.5909,35.5909,,,35.5909,,,35.5909,,
31,35.6515,35.6515,,,35.6515,,,35.6515,,
32,35.6727,35.6727,,,35.6727,,,35.6727,,
33,35.7101,35.7101,,,35.7101,,,35.7101,,
34,35.7532,35.7532,,,35.7532,,,35.7532,,
35,35.7737,35.7737,,,35.7737,,,35.7737,,
36,35.784,35.784,,,35.784,,,35.784,,
37,35.7757,35.7757,,,35.7757,,,35.7757,,
38,35.7606,35.7606,,,35.7606,,,35.7606,,
39,35.7421,35.7421,,,35.7421,,,35.7421,,
40,35.7137,35.7137,,,35.7137,,,35.7137,,
41,35.6636,35.6636,,,35.6636,,,35.6636,,
42,35.6211,35.6211,,,35.6211,,,35.6211,,
43,35.6855,35.6855,,,35.6855,,,35.6855,,
44,35.6802,35.6802,,,35.6802,,,35.6802,,
45,35.6936,35.6936,,,35.6936,,,35.6936,,
46,35.6816,35.6816,,,35.6816,,,35.6816,,
47,35.6983,35.6983,,,35.6983,,,35.6983,,
48,35.7163,35.7163,,,35.7163,,,35.7163,,
49,35.7712,35.7712,,,35.7712,,,35.7712,,
50,35.8046,35.8046,,,35.8046,,,35.8046,,
51,35.842,35.842,,,35.842,,,35.842,,
52,35.8664,35.8664,,,35.8664,,,35.8664,,
53,35.8814,35.8814,,,35.8814,,,35.8814,,
54,35.9471,35.9471,,,35.9471,,,35.9471,,
55,35.9466,35.9466,,,35.9466,,,35.9466,,
56,35.9259,35.9259,,,35.9259,,,35.9259,,
57,35.9272,35.9272,,,35.9272,,,35.9272,,
58,35.9953,35.9953,,,35.9953,,,35.9953,,
59,35.9751,35.9751,,,35.9751,,,35.9751,,
60,35.9913,35.9913,,,35.9913,,,35.9913,,
61,36.0097,36.0097,,,36.0097,,,36.0097,,
62,36.0103,36.0103,,,36.0103,,,36.0103,,
63,35.9453,35.9453,,,35.9453,,,35.9453,,
64,35.9316,35.9316,,,35.9316,,,35.9316,,
65,35.9386,35.9386,,,35.9386,,,35.9386,,
66,35.9182,35.9182,,,35.9182,,,35.9182,,
67,35.9356,35.9356,,,35.9356,,,35.9356,,
68,35.8986,35.8986,,,35.8986,,,35.8986,,
69,35.8705,35.8705,,,35.8705,,,35.8705,,
70,35.8327,35.8327,,,35.8327,,,35.8327,,
71,35.8419,35.8419,,,35.8419,,,35.8419,,
72,35.7932,35.7932,,,35.7932,,,35.7932,,
73,35.7589,35.7589,,,35.7589,,,35.7589,,
74,35.7496,35.7496,,,35.7496,,,35.7496,,
75,35.7652,35.7652,,,35.7652,,,35.7652,,
76,35.7825,35.7825,,,35.7825,,,35.7825,,
77,35.802,35.802,,,35.802,,,35.802,,
78,35.7686,35.7686,,,35.7686,,,35.7686,,
79,35.8704,35.8704,,,35.8704,,,35.8704,,
80,36.0554,36.0554,,,36.0554,,,36.0554,,
81,35.8457,35.8457,,,35.8457,,,35.8457,,
82,35.7794,35.7794,,,35.7794,,,35.7794,,
83,35.8013,35.8013,,,35.8013,,,35.8013,,
84,35.8549,35.8549,,,35.8549,,,35.8549,,
85,35.8586,35.8586,,,35.8586,,,35.8586,,
86,35.8955,35.8955,,,35.8955,,,35.8955,,
87,35.8935,35.8935,,,35.8935,,,35.8935,,
88,35.8939,35.8939,,,35.8939,,,35.8939,,
89,35.8771,35.8771,,,35.8771,,,35.8771,,
90,36.0127,36.0127,,,36.0127,,,36.0127,,
